Description,Image,Gender,Specifications
Printed Pure Cotton T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27873912/2024/3/5/4cb9850f-3dea-4639-b310-5d7360e1c56b1709629321859DILLINGERGraphicPrintedOversizedPureCottonT-Shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Longline', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Unisex Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25899798/2023/11/16/2324653f-fae2-455f-99b9-85415660e2d81700119381390AeroArmourUnisexOliveGreenT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Printed Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23369998/2024/3/7/869d13b0-2059-444b-9aad-1054019148031709804535981BewakoofTypographyPrintOversizedT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Oversized Training  T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29865415/2024/6/11/8f36722a-4cae-45ed-9f9f-915db2b6bd7f1718086891222-HRX-by-Hrithik-Roshan-Women-Tshirts-4771718086890833-1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Longline', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Sports'}"
Cotton Oversized T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17132720/2022/6/20/7748f30c-e08f-4359-8524-9d8f7d3135281655722336851-DILLINGER-Women-Blue-Printed-Pure-Cotton-Loose-Graphic-Overs-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Oversized', 'Length': 'Longline', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Printed Oversized T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23370004/2024/3/7/5349b751-aec0-4606-86f6-1160d7ba52121709804544749BewakoofxOFFICIALGARFIELDMERCHANDISELazyGarfieldGraphicPrint1.jpg",women,"{'Character': 'Garfield', 'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Cotton Raw Edge T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27410424/2024/2/7/0f3bf359-e29c-4074-8c83-8f6e328895ba1707301393551CrazymonkUnisexRawEdgeT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Antiviral Protective Finish T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12193512/2020/12/8/280177d2-6c15-4cc1-ad77-a5917706456d1607447083563RoadsterWomenWhiteNavyBlueVIROBANSustainableStripedCroppedPo3.jpg",women,"{'Closure': 'Button', 'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Crop', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Polo Collar', 'Occasion': 'Casual'}"
Striped Polo Collar T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21387282/2023/8/16/5edd90fc-3d1f-4542-bc7d-e568500b2c511692181746988ChemistryStripedPoloCollarT-shirt1.jpg",women,"{'Fabric': 'Viscose Rayon', 'Fabric 2': 'Polyester', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Polo Collar', 'Number of Items': '1'}"
Striped V-Neck T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/OCTOBER/4/aPOMaAkw_cde2122db09e4048b2e27dec355c9b55.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Multi or Variegated Stripes', 'Multipack Set': 'Single', 'Neck': 'V-Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25468986/2023/10/13/d416703f-cf49-4482-9619-9d6f4dd501871697207040563KottyWomenGreenAppliqueT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Blended', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Printed Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28965270/2024/4/16/7b728772-fa1d-4f23-aeac-3034cf3cb5c51713262064084HELLCATWomenPrintedRawEdgeT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Blended', 'Fit': 'Oversized', 'Length': 'Longline', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Printed Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17587418/2022/4/28/df023199-193f-4fd5-8f6d-dd90471d0a921651143449880-Difference-of-Opinion-Women-Pink-Typography-Printed-Pure-Cot-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Oversized', 'Length': 'Longline', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28659552/2024/4/10/af089330-c654-42b2-b471-44bb9cdd54831712741471577HMWomenCottonT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Printed Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28965244/2024/4/16/7fca4c95-8c8c-4114-8c5b-9d421109b3d61713262069276HELLCATWomenTypographyPrintedDrop-ShoulderSleevesRawEdgeT-sh1.jpg",women,"{'Fabric': 'Cotton', 'Fabric 2': 'Blended', 'Fit': 'Oversized', 'Length': 'Longline', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Pure Cotton Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30521995/2024/10/3/b09bd799-2a77-4ac7-9910-a4110ce3dfcb1727956482572-Roadster-Women-Tshirts-8611727956482112-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Printed Oversize T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21315234/2024/3/7/7e034adc-da43-4aef-9af3-4687b76eba371709804535565BewakoofWomenBlackPrintedDrop-ShoulderSleevesPureCottonOvers1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Pure Cotton Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25552518/2023/10/19/30ef0db4-4f28-4d8a-9987-bb875a290e171697719541838TheSouledStoreWomenOffWhiteGarfieldPrintedRawEdgeT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Oversized Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29717974/2024/6/4/6fc8e78a-e0e3-4eb6-94f3-53449f5a8afc1717496220339-Kook-N-Keech-Women-Tshirts-4791717496219965-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Oversized', 'Length': 'Longline', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Printed T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27469382/2024/2/21/187b3722-7d5d-44cb-8574-6cd89e8489a91708510890447-Kook-N-Keech-Women-Tshirts-4821708510890103-1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Workout T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21261168/2024/5/16/e5d3fb30-4d6a-4978-9bbc-65414b4206f71715858792496-cultsportone-Women-Geometric-Placement-Print-Moisture-Wickin-1.jpg",women,"{'Care for me': 'Follow the garment wash care label\nCan be tumble dried in a cool setting if machine washed\nPrevent static build-up by drying while damp\nUse low heat to iron', 'Fabric': 'Polyester', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Women Pockets T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29905882/2024/9/28/5ac8becd-6f3d-4c1d-afe0-4e6791434e211727530976376-JUNEBERRY-Women-Pure-Cotton-Pockets-T-shirt-181727530976057-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
