description,image_url,gender,item_type,specifications
Slim Fit Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25695618/2023/10/31/e6ccf3cc-7fd3-4cce-9acc-cb5fac671b281698744976690JackJonesMenWhiteCheckedPocketsSlimFitT-shirt1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Slim Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Men Printed Applique T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/13/q8Tz1MVU_cfd8ed1ebd3448d8ad9a32074020c6ab.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Oversized', 'length': 'Regular', 'main_trend': 'Graphic Print Others', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Striped Cotton Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9376057/2019/6/12/40949524-1f0b-48f5-a68a-cee0661b30d81560344436422-HERENOW-Men-Tshirts-9361560344434861-1.jpg",men,t-shirt,"{'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Round Neck', 'occasion': 'Casual', 'pattern': 'Striped', 'print_or_pattern_type': 'Striped'}"
Men Dyed Round Neck Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10938420/2022/7/4/df87620f-ab3b-4dc3-af54-3f602e1868571656923338023-Roadster-Men-Teal-Blue-Dyed-Round-Neck-Pure-Cotton-T-shirt-9-1.jpg",men,t-shirt,"{'fabric': 'Pure Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Solid Lounge T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2465176/2024/1/19/8208068c-689c-4f79-ac25-86bafc7cb93a1705648276619USPoloAssnMenBlueSolidLoungeT-Shirt1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'neck': 'Round Neck', 'pattern': 'Solid', 'sleeve_length': 'Short Sleeves', 'type': 'Regular'}"
Men Polo Collar T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30065559/2024/7/10/3409a605-4b2e-430f-90cd-8eabfb37661e1720606134430-Kook-N-Keech-Men-Tshirts-5351720606133935-1.jpg",men,t-shirt,"{'fabric': 'Pure Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Polo Collar'}"
Men Polo Solid T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/23/lBqqcb1v_36ac720c812a4a7aaad3dd5e524186f2.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Slim Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Polo Collar'}"
Colourblock Cotton Tank Top,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22879688/2024/1/17/f28dd831-4727-4207-a05a-29c496014b941705488797389-DAMENSCH-Men-Colourblocked-Cotton-Tank-T-shirt-5331705488796-1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'neck': 'Round Neck', 'pattern': 'Colourblocked', 'sleeve_length': 'Sleeveless', 'type': 'Tank'}"
Striped Polo Collar T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/4149449/2019/2/20/6cd08a82-c6c8-4b5b-8864-1c4d82f9e6261550664602748-Mast--Harbour-Men-Blue-Striped-Polo-Collar-T-shirt-821155066-1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Polo Collar', 'occasion': 'Casual', 'pattern': 'Striped'}"
Men Striped Lounge T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16127468/2022/1/19/186c4540-a409-44e3-b043-9e0be0724d531642583925525USPoloAssnMenOliveGreenNavyBlueStripedLoungeT-Shirt1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'neck': 'Round Neck', 'pattern': 'Striped', 'sleeve_length': 'Short Sleeves', 'type': 'Regular'}"
Oversized T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16713294/2023/1/5/b50504dc-42f5-40fa-b9f1-923f5e5c849f1672908428498-The-Souled-Store-Men-Denim-Blue-Solid-Round-Neck-Oversized-T-6.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Oversized', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Men Striped Lounge T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16127468/2022/1/19/186c4540-a409-44e3-b043-9e0be0724d531642583925525USPoloAssnMenOliveGreenNavyBlueStripedLoungeT-Shirt1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'neck': 'Round Neck', 'pattern': 'Striped', 'sleeve_length': 'Short Sleeves', 'type': 'Regular'}"
Printed Relaxed Fit T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/27/XL6OEndt_0e47be2e4d664cbc9f0490424bdb6529.jpg",men,t-shirt,"{'fabric': 'Pure Cotton', 'fit': 'Relaxed Fit', 'length': 'Regular', 'main_trend': 'Typography or Slogan Print', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Printed Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26773774/2024/5/6/9d5b3ef4-de37-4c9b-84b2-a0cdf8cd07491714997110397-Levis-Men-Tshirts-9501714997109909-1.jpg",men,t-shirt,"{'fabric': 'Pure Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'Typography or Slogan Print', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Polo Collar Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25181318/2024/9/5/3377b05b-de4a-46f0-8937-61f76dfafae21725528704806-Rigo-Polo-Collar-Waffle-Knit-Cotton-T-shirt-1241725528703957-1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Polo Collar', 'occasion': 'Casual'}"
Unisex Printed Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27275658/2024/2/1/37c6ba43-a028-44ea-ba36-2ca0c15178961706792940414CrazymonkUnisexTypographyColourblockedPocketsT-shirt1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Oversized', 'length': 'Regular', 'main_trend': 'Graphic Print Others', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Men Self-Design T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16998290/2022/4/19/b92886e1-1348-49f6-967f-06661b2e7d1d1650351403972-Roadster-Men-Tshirts-7001650351403508-1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Colourblocked Polo Collar T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8325363/2019/2/28/2a1f7eaf-2b5a-4603-92bf-68338c8e62a81551350773509-Mast--Harbour-Men-Tshirts-7711551350771785-1.jpg",men,t-shirt,"{'fabric': 'Pure Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'Colourblocked', 'neck': 'Polo Collar', 'occasion': 'Casual', 'pattern': 'Colourblocked'}"
Printed Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25902622/2023/11/16/f2f56c22-303a-438a-9fb8-3a1d429ecd991700128251830AeroArmourUnisexYellowT-shirt1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'Typography or Slogan Print', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Pure Cotton Oversized T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27974058/2024/3/1/3c02fbd5-caef-41db-b837-20b374db4e3e1709288527641CrazymonkUnisexTypographyPrintedT-shirt1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Oversized', 'length': 'Regular', 'main_trend': 'Typography or Slogan Print', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Men Printed Applique T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/13/q8Tz1MVU_cfd8ed1ebd3448d8ad9a32074020c6ab.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Oversized', 'length': 'Regular', 'main_trend': 'Graphic Print Others', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Printed Polo Collar Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8826197/2019/3/28/cd973859-d67e-44b0-bee9-e2af86e26ddd1553775155022-Mast--Harbour-Men-Peach-Coloured-Printed-Polo-Collar-T-shirt-5.jpg",men,t-shirt,"{'fabric': 'Pure Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'Micro or Ditsy Print', 'neck': 'Polo Collar', 'occasion': 'Casual', 'pattern': 'Printed'}"
Mens Golf Polo Tshirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30365486/2024/7/31/10cb8966-7e70-4074-9e79-241f28acd2db1722405695745-Kook-N-Keech-Men-Tshirts-5181722405695349-1.jpg",men,t-shirt,"{'fabric': 'Polyester', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'Abstract', 'neck': 'Polo Collar'}"
